week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518452;-7088196.5121;21456799.6175;20288131.1560;5257988.1330;2962238.5369;15648136.7262;15418914.8946;13511738.3623;-6701324.4568;
2134;518453;-7085194.3036;21456195.1882;20289314.0109;5260996.3529;2965386.2005;15645992.0473;15421210.7480;13509181.3648;-6704308.9348;
2134;518454;-7082191.9462;21455590.2953;20290496.4346;5264004.4624;2968533.8010;15643847.0382;15423506.2649;13506624.0787;-6707293.2744;
2134;518455;-7079189.4400;21454984.9390;20291678.4269;5267012.4615;2971681.3385;15641701.6991;15425801.4452;13504066.5040;-6710277.4754;
2134;518456;-7076186.7850;21454379.1193;20292859.9878;5270020.3502;2974828.8129;15639556.0299;15428096.2890;13501508.6407;-6713261.5377;
2134;518457;-7073183.9813;21453772.8360;20294041.1173;5273028.1283;2977976.2240;15637410.0307;15430390.7960;13498950.4889;-6716245.4614;
2134;518458;-7070181.0291;21453166.0894;20295221.8155;5276035.7958;2981123.5719;15635263.7015;15432684.9664;13496392.0488;-6719229.2462;
2134;518459;-7067177.9283;21452558.8793;20296402.0821;5279043.3526;2984270.8565;15633117.0425;15434978.8000;13493833.3202;-6722212.8923;
2134;518460;-7064174.6789;21451951.2058;20297581.9174;5282050.7987;2987418.0776;15630970.0536;15437272.2968;13491274.3033;-6725196.3995;
2134;518461;-7061171.2812;21451343.0689;20298761.3211;5285058.1341;2990565.2353;15628822.7349;15439565.4568;13488714.9982;-6728179.7677;
2134;518462;-7058167.7351;21450734.4687;20299940.2933;5288065.3585;2993712.3294;15626675.0864;15441858.2798;13486155.4049;-6731162.9969;
2134;518463;-7055164.0407;21450125.4050;20301118.8340;5291072.4721;2996859.3599;15624527.1082;15444150.7659;13483595.5234;-6734146.0871;
2134;518464;-7052160.1980;21449515.8781;20302296.9431;5294079.4746;3000006.3267;15622378.8003;15446442.9149;13481035.3538;-6737129.0381;
2134;518465;-7049156.2072;21448905.8878;20303474.6207;5297086.3661;3003153.2298;15620230.1627;15448734.7270;13478474.8962;-6740111.8500;
