week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518451;24409053.714;20791543.563;20696299.527;22387390.113;22919920.469;20346805.532;22175416.475;23998579.500;24228463.172;
2134;518452;24408415.646;20791248.090;20696556.350;22386947.224;22919408.582;20346930.718;22174963.559;23999127.686;24229126.447;
2134;518453;24407779.268;20790955.358;20696814.935;22386502.866;22918900.038;20347056.309;22174509.154;23999676.912;24229788.974;
2134;518454;24407141.022;20790661.811;20697073.128;22386056.129;22918388.822;20347183.703;22174055.909;24000225.482;24230448.194;
2134;518455;24406504.237;20790369.162;20697333.727;22385610.402;22917880.163;20347310.096;22173602.385;24000776.386;24231110.471;
2134;518456;24405867.421;20790073.922;20697593.232;22385162.990;22917368.418;20347438.430;22173147.297;24001323.901;24231770.523;
2134;518457;24405229.859;20789778.586;20697852.441;22384720.035;22916859.586;20347564.839;22172694.603;24001874.094;24232431.744;
2134;518458;24404592.800;20789487.118;20698112.159;22384274.371;22916348.558;20347691.524;22172241.416;24002423.513;24233092.389;
2134;518459;24403956.339;20789191.611;20698368.400;22383830.254;22915838.574;20347817.916;22171786.786;24002972.930;24233751.499;
2134;518460;24403318.922;20788901.409;20698629.542;22383384.806;22915330.035;20347942.840;22171333.624;24003522.229;24234415.607;
2134;518461;24402682.755;20788607.415;20698887.562;22382943.058;22914820.026;20348072.851;22170880.039;24004069.506;24235077.396;
2134;518462;24402044.370;20788312.764;20699147.337;22382497.331;22914309.236;20348200.885;22170426.516;24004618.642;24235739.822;
2134;518463;24401407.414;20788020.293;20699407.809;22382053.445;22913801.671;20348325.733;22169973.296;24005168.743;24236399.211;
2134;518464;24400772.221;20787725.980;20699667.263;22381608.956;22913292.057;20348453.843;22169516.912;24005716.918;24237061.535;
2134;518465;24400133.397;20787434.515;20699928.856;22381165.017;22912782.270;20348581.614;22169066.188;24006266.002;24237721.665;
2134;518466;24399497.687;20787140.813;20700188.262;22380721.883;22912274.963;20348710.632;22168611.996;24006816.897;24238383.571;
2134;518467;24398857.952;20786849.496;20700447.554;22380276.174;22911763.135;20348834.889;22168159.332;24007364.585;24239046.280;
2134;518468;24398222.208;20786558.041;20700708.852;22379832.356;22911252.835;20348964.538;22167706.356;24007913.351;24239709.462;
2134;518469;24397583.592;20786263.658;20700967.472;22379388.994;22910745.905;20349094.222;22167251.092;24008463.523;24240367.955;
2134;518470;24396946.373;20785972.177;20701229.585;22378944.342;22910235.326;20349219.519;22166799.181;24009012.269;24241029.476;
2134;518471;24396310.575;20785679.373;20701490.591;22378501.339;22909726.911;20349351.375;22166346.409;24009561.355;24241690.590;
2134;518472;24395673.342;20785387.362;20701750.559;22378058.862;22909216.854;20349477.048;22165892.839;24010111.930;24242351.196;
2134;518473;24395036.575;20785093.895;20702010.423;22377612.602;22908708.216;20349604.689;22165437.447;24010661.543;24243013.094;
2134;518474;24394400.432;20784803.141;20702272.562;22377170.812;22908200.871;20349734.755;22164986.979;24011208.908;24243675.367;
2134;518475;24393760.542;20784511.213;20702532.009;22376727.735;22907691.138;20349862.884;22164532.851;24011758.834;24244338.883;
2134;518476;24393126.007;20784220.191;20702797.187;22376283.751;22907180.596;20349992.780;22164077.614;24012306.530;24244997.329;
2134;518477;24392488.761;20783926.528;20703055.049;22375841.372;22906672.751;20350119.647;22163627.186;24012855.650;24245661.798;
2134;518478;24391852.598;20783635.371;20703316.909;22375397.196;22906165.500;20350250.071;22163172.356;24013406.625;24246321.351;
2134;518479;24391215.304;20783343.825;20703577.237;22374955.755;22905658.854;20350377.401;22162719.541;24013956.309;24246983.874;
2134;518480;24390578.258;20783051.987;20703838.839;22374511.210;22905148.527;20350508.956;22162267.958;24014502.784;24247645.644;
2134;518481;24389941.918;20782758.997;20704099.610;22374066.954;22904639.037;20350637.856;22161814.939;24015055.610;24248305.443;
2134;518482;24389304.485;20782469.386;20704361.246;22373625.120;22904131.674;20350767.132;22161360.758;24015605.833;24248967.358;
2134;518483;24388668.745;20782177.903;20704620.426;22373183.587;22903624.149;20350895.872;22160907.498;24016151.713;24249628.375;
2134;518484;24388031.932;20781887.334;20704885.895;22372740.766;22903115.696;20351025.673;22160456.889;24016702.670;24250291.898;
2134;518485;24387393.905;20781595.182;20705148.510;22372297.743;22902609.645;20351156.465;22160004.105;24017251.364;24250953.400;
2134;518486;24386758.321;20781302.402;20705410.187;22371854.909;22902099.261;20351286.942;22159552.111;24017801.682;24251614.849;
2134;518487;24386122.559;20781015.139;20705672.207;22371413.309;22901590.976;20351414.505;22159098.623;24018349.944;24252273.921;
2134;518488;24385483.500;20780724.341;20705935.383;22370970.129;22901083.524;20351544.682;22158647.863;24018900.236;24252936.897;
2134;518489;24384848.523;20780430.987;20706197.165;22370527.913;22900577.621;20351673.809;22158195.243;24019449.095;24253598.676;
2134;518490;24384208.893;20780141.281;20706458.798;22370084.308;22900069.205;20351806.023;22157739.202;24019998.948;24254258.912;
2134;518491;24383574.484;20779850.961;20706720.350;22369642.133;22899560.195;20351934.511;22157289.077;24020546.917;24254922.626;
2134;518492;24382939.470;20779558.029;20706985.653;22369201.253;22899054.479;20352065.816;22156837.137;24021096.356;24255582.759;
2134;518493;24382299.702;20779269.408;20707246.508;22368757.463;22898545.665;20352199.311;22156385.403;24021646.413;24256245.820;
2134;518494;24381666.224;20778978.312;20707509.622;22368315.784;22898037.804;20352325.912;22155932.313;24022195.732;24256909.992;
2134;518495;24381026.352;20778688.020;20707773.338;22367873.147;22897529.582;20352456.412;22155479.700;24022746.429;24257567.854;
2134;518496;24380391.391;20778398.252;20708036.911;22367431.138;22897020.577;20352589.396;22155029.224;24023295.628;24258230.082;
