week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518416;23361675.8359;13364982.2318;14662320.6978;21147490.2582;20621904.2689;21486742.1006;12195454.4199;5297975.0452;25395344.8276;
2134;518417;23362290.0614;13367056.4669;14659990.8338;21146753.6783;20621449.1123;21488289.0006;12195444.4416;5297513.5322;25394682.6571;
2134;518418;23362904.0254;13369130.7520;14657660.8947;21146016.7647;20620993.6300;21489835.7486;12195434.5529;5297052.1786;25394020.1755;
2134;518419;23363517.7277;13371205.0871;14655330.8805;21145279.5174;20620537.8219;21491382.3444;12195424.7539;5296590.9844;25393357.3830;
2134;518420;23364131.1684;13373279.4720;14653000.7914;21144541.9364;20620081.6880;21492928.7881;12195415.0447;5296129.9496;25392694.2796;
2134;518421;23364744.3474;13375353.9067;14650670.6272;21143804.0216;20619625.2284;21494475.0795;12195405.4251;5295669.0741;25392030.8653;
2134;518422;23365357.2646;13377428.3911;14648340.3883;21143065.7731;20619168.4429;21496021.2185;12195395.8953;5295208.3580;25391367.1401;
2134;518423;23365969.9200;13379502.9252;14646010.0745;21142327.1908;20618711.3317;21497567.2053;12195386.4554;5294747.8011;25390703.1041;
2134;518424;23366582.3136;13381577.5090;14643679.6860;21141588.2748;20618253.8945;21499113.0396;12195377.1054;5294287.4035;25390038.7574;
2134;518425;23367194.4453;13383652.1423;14641349.2228;21140849.0250;20617796.1315;21500658.7214;12195367.8452;5293827.1650;25389374.0998;
2134;518426;23367806.3151;13385726.8251;14639018.6850;21140109.4414;20617338.0426;21502204.2507;12195358.6751;5293367.0858;25388709.1316;
2134;518427;23368417.9229;13387801.5574;14636688.0727;21139369.5240;20616879.6278;21503749.6273;12195349.5949;5292907.1656;25388043.8527;
2134;518428;23369029.2687;13389876.3391;14634357.3859;21138629.2728;20616420.8870;21505294.8514;12195340.6048;5292447.4046;25387378.2631;
2134;518429;23369640.3524;13391951.1701;14632026.6247;21137888.6878;20615961.8203;21506839.9227;12195331.7047;5291987.8026;25386712.3630;
2134;518430;23370251.1739;13394026.0504;14629695.7891;21137147.7690;20615502.4275;21508384.8412;12195322.8948;5291528.3596;25386046.1523;
2134;518431;23370861.7334;13396100.9800;14627364.8793;21136406.5164;20615042.7088;21509929.6070;12195314.1751;5291069.0757;25385379.6310;
2134;518432;23371472.0306;13398175.9586;14625033.8953;21135664.9299;20614582.6641;21511474.2198;12195305.5456;5290609.9507;25384712.7993;
2134;518433;23372082.0655;13400250.9864;14622702.8371;21134923.0096;20614122.2933;21513018.6797;12195297.0064;5290150.9846;25384045.6571;
2134;518434;23372691.8381;13402326.0632;14620371.7048;21134180.7555;20613661.5964;21514562.9866;12195288.5574;5289692.1774;25383378.2045;
2134;518435;23373301.3484;13404401.1890;14618040.4986;21133438.1675;20613200.5734;21516107.1404;12195280.1988;5289233.5291;25382710.4415;
2134;518436;23373910.5963;13406476.3638;14615709.2184;21132695.2456;20612739.2244;21517651.1411;12195271.9306;5288775.0396;25382042.3681;
2134;518437;23374519.5818;13408551.5874;14613377.8643;21131951.9898;20612277.5492;21519194.9887;12195263.7529;5288316.7089;25381373.9845;
2134;518438;23375128.3048;13410626.8598;14611046.4363;21131208.4002;20611815.5478;21520738.6830;12195255.6656;5287858.5369;25380705.2906;
2134;518439;23375736.7652;13412702.1810;14608714.9347;21130464.4767;20611353.2203;21522282.2240;12195247.6688;5287400.5237;25380036.2864;
2134;518440;23376344.9631;13414777.5508;14606383.3593;21129720.2192;20610890.5665;21523825.6117;12195239.7626;5286942.6691;25379366.9721;
2134;518441;23376952.8983;13416852.9693;14604051.7103;21128975.6279;20610427.5866;21525368.8459;12195231.9470;5286484.9732;25378697.3476;
2134;518442;23377560.5709;13418928.4364;14601719.9878;21128230.7027;20609964.2804;21526911.9268;12195224.2220;5286027.4359;25378027.4129;
2134;518443;23378167.9807;13421003.9520;14599388.1918;21127485.4435;20609500.6479;21528454.8540;12195216.5877;5285570.0572;25377357.1682;
2134;518444;23378775.1278;13423079.5160;14597056.3224;21126739.8504;20609036.6892;21529997.6277;12195209.0442;5285112.8370;25376686.6134;
2134;518445;23379382.0121;13425155.1284;14594724.3796;21125993.9233;20608572.4042;21531540.2478;12195201.5914;5284655.7753;25376015.7486;
2134;518446;23379988.6335;13427230.7892;14592392.3635;21125247.6623;20608107.7928;21533082.7142;12195194.2295;5284198.8721;25375344.5738;
2134;518447;23380594.9921;13429306.4983;14590060.2742;21124501.0674;20607642.8551;21534625.0268;12195186.9584;5283742.1273;25374673.0891;
2134;518448;23381201.0876;13431382.2556;14587728.1117;21123754.1384;20607177.5910;21536167.1856;12195179.7782;5283285.5409;25374001.2945;
2134;518449;23381806.9202;13433458.0610;14585395.8761;21123006.8755;20606712.0005;21537709.1906;12195172.6889;5282829.1129;25373329.1900;
2134;518450;23382412.4898;13435533.9146;14583063.5675;21122259.2786;20606246.0836;21539251.0416;12195165.6907;5282372.8432;25372656.7757;
2134;518451;23383017.7963;13437609.8162;14580731.1860;21121511.3478;20605779.8403;21540792.7387;12195158.7835;5281916.7319;25371984.0516;
2134;518452;23383622.8396;13439685.7658;14578398.7315;21120763.0829;20605313.2706;21542334.2817;12195151.9673;5281460.7788;25371311.0178;
2134;518453;23384227.6198;13441761.7633;14576066.2042;21120014.4840;20604846.3743;21543875.6706;12195145.2423;5281004.9839;25370637.6742;
2134;518454;23384832.1367;13443837.8087;14573733.6042;21119265.5511;20604379.1516;21545416.9053;12195138.6084;5280549.3472;25369964.0209;
2134;518455;23385436.3904;13445913.9019;14571400.9314;21118516.2842;20603911.6023;21546957.9859;12195132.0657;5280093.8687;25369290.0580;
2134;518456;23386040.3807;13447990.0429;14569068.1860;21117766.6832;20603443.7265;21548498.9121;12195125.6143;5279638.5483;25368615.7855;
2134;518457;23386644.1077;13450066.2315;14566735.3681;21117016.7482;20602975.5242;21550039.6841;12195119.2541;5279183.3859;25367941.2034;
2134;518458;23387247.5713;13452142.4678;14564402.4776;21116266.4791;20602506.9953;21551580.3016;12195112.9853;5278728.3817;25367266.3117;
2134;518459;23387850.7715;13454218.7517;14562069.5147;21115515.8760;20602038.1397;21553120.7647;12195106.8079;5278273.5354;25366591.1106;
2134;518460;23388453.7081;13456295.0831;14559736.4794;21114764.9388;20601568.9576;21554661.0734;12195100.7218;5277818.8472;25365915.6000;
2134;518461;23389056.3812;13458371.4620;14557403.3718;21114013.6676;20601099.4488;21556201.2274;12195094.7273;5277364.3169;25365239.7800;
2134;518462;23389658.7908;13460447.8883;14555070.1920;21113262.0623;20600629.6133;21557741.2268;12195088.8242;5276909.9445;25364563.6506;
2134;518463;23390260.9367;13462524.3619;14552736.9400;21112510.1228;20600159.4512;21559281.0716;12195083.0126;5276455.7299;25363887.2118;
2134;518464;23390862.8189;13464600.8828;14550403.6159;21111757.8493;20599688.9623;21560820.7616;12195077.2927;5276001.6733;25363210.4638;
2134;518465;23391464.4373;13466677.4509;14548070.2198;21111005.2417;20599218.1468;21562360.2969;12195071.6644;5275547.7744;25362533.4064;
2134;518466;23392065.7921;13468754.0662;14545736.7516;21110252.2999;20598747.0044;21563899.6772;12195066.1277;5275094.0333;25361856.0398;
2134;518467;23392666.8830;13470830.7286;14543403.2116;21109499.0241;20598275.5353;21565438.9027;12195060.6828;5274640.4499;25361178.3641;
2134;518468;23393267.7100;13472907.4380;14541069.5997;21108745.4141;20597803.7394;21566977.9732;12195055.3296;5274187.0243;25360500.3791;
2134;518469;23393868.2731;13474984.1945;14538735.9160;21107991.4699;20597331.6167;21568516.8887;12195050.0682;5273733.7563;25359822.0850;
2134;518470;23394468.5723;13477060.9978;14536402.1606;21107237.1916;20596859.1672;21570055.6492;12195044.8987;5273280.6459;25359143.4818;
2134;518471;23395068.6075;13479137.8481;14534068.3336;21106482.5792;20596386.3908;21571594.2545;12195039.8210;5272827.6932;25358464.5696;
