week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518423;10674181.2917;-7619192.5899;9004728.2119;15444063.8219;16516098.7907;613707.9160;-17584798.1025;22155377.9532;-5570641.0192;
2134;518424;10674899.7420;-7617358.5649;9005816.2260;15444044.4396;16516115.9351;614988.6979;-17582801.9719;22157052.1475;-5570101.5292;
2134;518425;10675617.9355;-7615524.7184;9006904.4364;15444024.9233;16516132.8832;616269.2446;-17580805.5499;22158726.0534;-5569561.8568;
2134;518426;10676335.8722;-7613691.0505;9007992.8432;15444005.2732;16516149.6350;617549.5562;-17578808.8365;22160399.6709;-5569022.0020;
2134;518427;10677053.5522;-7611857.5612;9009081.4463;15443985.4891;16516166.1907;618829.6327;-17576811.8317;22162072.9999;-5568481.9648;
2134;518428;10677770.9754;-7610024.2505;9010170.2457;15443965.5713;16516182.5502;620109.4740;-17574814.5355;22163746.0404;-5567941.7451;
2134;518429;10678488.1420;-7608191.1186;9011259.2415;15443945.5197;16516198.7135;621389.0802;-17572816.9480;22165418.7923;-5567401.3430;
2134;518430;10679205.0520;-7606358.1653;9012348.4336;15443925.3343;16516214.6809;622668.4513;-17570819.0693;22167091.2555;-5566860.7583;
2134;518431;10679921.7053;-7604525.3908;9013437.8220;15443905.0153;16516230.4522;623947.5873;-17568820.8994;22168763.4301;-5566319.9910;
2134;518432;10680638.1020;-7602692.7951;9014527.4067;15443884.5627;16516246.0275;625226.4881;-17566822.4384;22170435.3160;-5565779.0411;
2134;518433;10681354.2421;-7600860.3782;9015617.1878;15443863.9765;16516261.4069;626505.1538;-17564823.6863;22172106.9130;-5565237.9086;
2134;518434;10682070.1257;-7599028.1401;9016707.1651;15443843.2568;16516276.5905;627783.5844;-17562824.6430;22173778.2213;-5564696.5933;
2134;518435;10682785.7527;-7597196.0810;9017797.3387;15443822.4036;16516291.5782;629061.7799;-17560825.3088;22175449.2406;-5564155.0954;
2134;518436;10683501.1233;-7595364.2008;9018887.7086;15443801.4169;16516306.3701;630339.7402;-17558825.6836;22177119.9711;-5563613.4147;
2134;518437;10684216.2374;-7593532.4996;9019978.2748;15443780.2969;16516320.9664;631617.4655;-17556825.7675;22178790.4125;-5563071.5512;
2134;518438;10684931.0950;-7591700.9775;9021069.0373;15443759.0436;16516335.3669;632894.9556;-17554825.5606;22180460.5650;-5562529.5049;
2134;518439;10685645.6963;-7589869.6343;9022159.9960;15443737.6570;16516349.5718;634172.2106;-17552825.0628;22182130.4283;-5561987.2757;
2134;518440;10686360.0412;-7588038.4703;9023251.1510;15443716.1372;16516363.5811;635449.2305;-17550824.2742;22183800.0025;-5561444.8636;
2134;518441;10687074.1297;-7586207.4854;9024342.5023;15443694.4841;16516377.3949;636726.0153;-17548823.1949;22185469.2875;-5560902.2686;
2134;518442;10687787.9619;-7584376.6797;9025434.0497;15443672.6980;16516391.0132;638002.5651;-17546821.8249;22187138.2833;-5560359.4905;
2134;518443;10688501.5377;-7582546.0531;9026525.7935;15443650.7787;16516404.4360;639278.8797;-17544820.1643;22188806.9899;-5559816.5295;
2134;518444;10689214.8573;-7580715.6059;9027617.7334;15443628.7264;16516417.6634;640554.9592;-17542818.2130;22190475.4070;-5559273.3854;
2134;518445;10689927.9207;-7578885.3379;9028709.8696;15443606.5411;16516430.6955;641830.8036;-17540815.9713;22192143.5349;-5558730.0582;
2134;518446;10690640.7279;-7577055.2492;9029802.2020;15443584.2229;16516443.5323;643106.4129;-17538813.4390;22193811.3732;-5558186.5479;
2134;518447;10691353.2788;-7575225.3399;9030894.7306;15443561.7718;16516456.1738;644381.7872;-17536810.6163;22195478.9221;-5557642.8544;
2134;518448;10692065.5736;-7573395.6099;9031987.4554;15443539.1878;16516468.6201;645656.9263;-17534807.5031;22197146.1815;-5557098.9778;
2134;518449;10692777.6123;-7571566.0594;9033080.3764;15443516.4711;16516480.8713;646931.8304;-17532804.0996;22198813.1513;-5556554.9179;
2134;518450;10693489.3948;-7569736.6884;9034173.4936;15443493.6216;16516492.9273;648206.4994;-17530800.4058;22200479.8315;-5556010.6747;
2134;518451;10694200.9213;-7567907.4969;9035266.8070;15443470.6394;16516504.7883;649480.9333;-17528796.4218;22202146.2220;-5555466.2482;
2134;518452;10694912.1917;-7566078.4849;9036360.3166;15443447.5245;16516516.4542;650755.1321;-17526792.1475;22203812.3227;-5554921.6383;
2134;518453;10695623.2061;-7564249.6525;9037454.0223;15443424.2771;16516527.9252;652029.0959;-17524787.5830;22205478.1337;-5554376.8451;
2134;518454;10696333.9645;-7562420.9997;9038547.9242;15443400.8971;16516539.2013;653302.8245;-17522782.7284;22207143.6549;-5553831.8684;
2134;518455;10697044.4670;-7560592.5266;9039642.0222;15443377.3846;16516550.2824;654576.3181;-17520777.5838;22208808.8861;-5553286.7083;
2134;518456;10697754.7134;-7558764.2332;9040736.3164;15443353.7396;16516561.1688;655849.5767;-17518772.1491;22210473.8275;-5552741.3647;
2134;518457;10698464.7040;-7556936.1195;9041830.8068;15443329.9623;16516571.8603;657122.6002;-17516766.4244;22212138.4789;-5552195.8375;
2134;518458;10699174.4387;-7555108.1856;9042925.4933;15443306.0525;16516582.3571;658395.3886;-17514760.4098;22213802.8402;-5551650.1268;
2134;518459;10699883.9175;-7553280.4315;9044020.3759;15443282.0105;16516592.6592;659667.9419;-17512754.1053;22215466.9115;-5551104.2325;
2134;518460;10700593.1406;-7551452.8572;9045115.4546;15443257.8362;16516602.7667;660940.2602;-17510747.5109;22217130.6926;-5550558.1545;
2134;518461;10701302.1078;-7549625.4628;9046210.7294;15443233.5297;16516612.6796;662212.3434;-17508740.6267;22218794.1836;-5550011.8929;
2134;518462;10702010.8192;-7547798.2483;9047306.2004;15443209.0910;16516622.3980;663484.1916;-17506733.4528;22220457.3843;-5549465.4475;
2134;518463;10702719.2749;-7545971.2138;9048401.8674;15443184.5203;16516631.9218;664755.8047;-17504725.9892;22222120.2948;-5548918.8184;
2134;518464;10703427.4748;-7544144.3593;9049497.7306;15443159.8174;16516641.2512;666027.1828;-17502718.2359;22223782.9149;-5548372.0055;
2134;518465;10704135.4191;-7542317.6848;9050593.7898;15443134.9825;16516650.3861;667298.3258;-17500710.1931;22225445.2447;-5547825.0087;
2134;518466;10704843.1077;-7540491.1904;9051690.0451;15443110.0157;16516659.3268;668569.2338;-17498701.8606;22227107.2840;-5547277.8281;
2134;518467;10705550.5407;-7538664.8761;9052786.4965;15443084.9169;16516668.0731;669839.9068;-17496693.2386;22228769.0329;-5546730.4636;
2134;518468;10706257.7180;-7536838.7419;9053883.1440;15443059.6863;16516676.6251;671110.3447;-17494684.3272;22230430.4913;-5546182.9152;
2134;518469;10706964.6398;-7535012.7880;9054979.9875;15443034.3239;16516684.9829;672380.5475;-17492675.1263;22232091.6590;-5545635.1828;
2134;518470;10707671.3060;-7533187.0142;9056077.0270;15443008.8296;16516693.1466;673650.5154;-17490665.6361;22233752.5362;-5545087.2663;
2134;518471;10708377.7167;-7531361.4207;9057174.2626;15442983.2037;16516701.1161;674920.2482;-17488655.8565;22235413.1227;-5544539.1659;
2134;518472;10709083.8719;-7529536.0075;9058271.6942;15442957.4461;16516708.8916;676189.7460;-17486645.7877;22237073.4184;-5543990.8813;
2134;518473;10709789.7717;-7527710.7746;9059369.3219;15442931.5568;16516716.4730;677459.0087;-17484635.4296;22238733.4234;-5543442.4126;
2134;518474;10710495.4160;-7525885.7221;9060467.1456;15442905.5360;16516723.8605;678728.0365;-17482624.7823;22240393.1376;-5542893.7598;
2134;518475;10711200.8049;-7524060.8499;9061565.1653;15442879.3836;16516731.0540;679996.8292;-17480613.8459;22242052.5609;-5542344.9228;
2134;518476;10711905.9384;-7522236.1583;9062663.3810;15442853.0998;16516738.0537;681265.3869;-17478602.6204;22243711.6933;-5541795.9015;
2134;518477;10712610.8165;-7520411.6471;9063761.7927;15442826.6845;16516744.8595;682533.7095;-17476591.1058;22245370.5347;-5541246.6960;
2134;518478;10713315.4393;-7518587.3164;9064860.4004;15442800.1378;16516751.4715;683801.7972;-17474579.3022;22247029.0850;-5540697.3061;
2134;518479;10714019.8068;-7516763.1663;9065959.2041;15442773.4598;16516757.8897;685069.6499;-17472567.2097;22248687.3444;-5540147.7319;
2134;518480;10714723.9191;-7514939.1968;9067058.2038;15442746.6505;16516764.1143;686337.2675;-17470554.8283;22250345.3126;-5539597.9734;
2134;518481;10715427.7761;-7513115.4079;9068157.3994;15442719.7100;16516770.1453;687604.6502;-17468542.1580;22252002.9896;-5539048.0304;
2134;518482;10716131.3779;-7511291.7996;9069256.7910;15442692.6383;16516775.9826;688871.7978;-17466529.1989;22253660.3754;-5538497.9030;
2134;518483;10716834.7244;-7509468.3721;9070356.3786;15442665.4354;16516781.6264;690138.7105;-17464515.9510;22255317.4700;-5537947.5911;
2134;518484;10717537.8159;-7507645.1253;9071456.1621;15442638.1015;16516787.0766;691405.3881;-17462502.4144;22256974.2732;-5537397.0946;
2134;518485;10718240.6522;-7505822.0593;9072556.1416;15442610.6365;16516792.3334;692671.8308;-17460488.5891;22258630.7851;-5536846.4136;
2134;518486;10718943.2333;-7503999.1741;9073656.3170;15442583.0405;16516797.3968;693938.0384;-17458474.4752;22260287.0055;-5536295.5480;
2134;518487;10719645.5595;-7502176.4697;9074756.6883;15442555.3135;16516802.2669;695204.0111;-17456460.0727;22261942.9345;-5535744.4978;
2134;518488;10720347.6305;-7500353.9463;9075857.2555;15442527.4557;16516806.9436;696469.7488;-17454445.3817;22263598.5720;-5535193.2629;
2134;518489;10721049.4466;-7498531.6037;9076958.0187;15442499.4670;16516811.4271;697735.2515;-17452430.4023;22265253.9179;-5534641.8433;
2134;518490;10721751.0076;-7496709.4422;9078058.9778;15442471.3475;16516815.7173;699000.5193;-17450415.1343;22266908.9722;-5534090.2389;
2134;518491;10722452.3137;-7494887.4616;9079160.1327;15442443.0973;16516819.8144;700265.5520;-17448399.5780;22268563.7349;-5533538.4498;
2134;518492;10723153.3648;-7493065.6621;9080261.4836;15442414.7164;16516823.7183;701530.3498;-17446383.7334;22270218.2058;-5532986.4759;
2134;518493;10723854.1611;-7491244.0436;9081363.0303;15442386.2048;16516827.4292;702794.9126;-17444367.6004;22271872.3850;-5532434.3171;
2134;518494;10724554.7024;-7489422.6063;9082464.7729;15442357.5626;16516830.9470;704059.2405;-17442351.1792;22273526.2723;-5531881.9734;
2134;518495;10725254.9889;-7487601.3501;9083566.7114;15442328.7898;16516834.2719;705323.3334;-17440334.4698;22275179.8678;-5531329.4447;
2134;518496;10725955.0206;-7485780.2751;9084668.8457;15442299.8866;16516837.4038;706587.1913;-17438317.4722;22276833.1714;-5530776.7312;
2134;518497;10726654.7975;-7483959.3813;9085771.1759;15442270.8528;16516840.3428;707850.8143;-17436300.1866;22278486.1831;-5530223.8326;
2134;518498;10727354.3196;-7482138.6687;9086873.7020;15442241.6887;16516843.0890;709114.2023;-17434282.6128;22280138.9027;-5529670.7489;
2134;518499;10728053.5869;-7480318.1375;9087976.4239;15442212.3942;16516845.6424;710377.3553;-17432264.7511;22281791.3303;-5529117.4803;
2134;518500;10728752.5996;-7478497.7876;9089079.3416;15442182.9694;16516848.0030;711640.2734;-17430246.6014;22283443.4657;-5528564.0264;
2134;518501;10729451.3576;-7476677.6191;9090182.4551;15442153.4143;16516850.1710;712902.9566;-17428228.1637;22285095.3091;-5528010.3875;
2134;518502;10730149.8609;-7474857.6319;9091285.7645;15442123.7290;16516852.1463;714165.4048;-17426209.4382;22286746.8602;-5527456.5634;
2134;518503;10730848.1096;-7473037.8262;9092389.2696;15442093.9136;16516853.9290;715427.6181;-17424190.4249;22288398.1190;-5526902.5540;
2134;518504;10731546.1037;-7471218.2020;9093492.9706;15442063.9680;16516855.5192;716689.5964;-17422171.1238;22290049.0856;-5526348.3594;
2134;518505;10732243.8432;-7469398.7594;9094596.8674;15442033.8924;16516856.9168;717951.3399;-17420151.5350;22291699.7598;-5525793.9795;
2134;518506;10732941.3282;-7467579.4982;9095700.9599;15442003.6867;16516858.1220;719212.8483;-17418131.6585;22293350.1416;-5525239.4143;
2134;518507;10733638.5586;-7465760.4187;9096805.2482;15441973.3511;16516859.1348;720474.1219;-17416111.4943;22295000.2309;-5524684.6637;
2134;518508;10734335.5346;-7463941.5208;9097909.7323;15441942.8855;16516859.9552;721735.1605;-17414091.0426;22296650.0278;-5524129.7277;
2134;518509;10735032.2561;-7462122.8045;9099014.4122;15441912.2901;16516860.5833;722995.9642;-17412070.3033;22298299.5321;-5523574.6063;
2134;518510;10735728.7232;-7460304.2700;9100119.2878;15441881.5648;16516861.0191;724256.5330;-17410049.2766;22299948.7438;-5523019.2994;
2134;518511;10736424.9359;-7458485.9172;9101224.3592;15441850.7098;16516861.2627;725516.8668;-17408027.9623;22301597.6628;-5522463.8070;
2134;518512;10737120.8942;-7456667.7462;9102329.6263;15441819.7251;16516861.3141;726776.9658;-17406006.3607;22303246.2892;-5521908.1290;
2134;518513;10737816.5982;-7454849.7570;9103435.0891;15441788.6106;16516861.1734;728036.8298;-17403984.4718;22304894.6228;-5521352.2655;
2134;518514;10738512.0478;-7453031.9496;9104540.7477;15441757.3665;16516860.8406;729296.4589;-17401962.2955;22306542.6636;-5520796.2163;
2134;518515;10739207.2432;-7451214.3241;9105646.6020;15441725.9929;16516860.3158;730555.8532;-17399939.8320;22308190.4116;-5520239.9815;
2134;518516;10739902.1843;-7449396.8806;9106752.6520;15441694.4897;16516859.5990;731815.0125;-17397917.0812;22309837.8666;-5519683.5610;
